O*NET-SOC Code,risacLetters,ProblemSolving_LV,CriticalThinking_LV,ProblemSolving_Score100,CriticalThinking_Score100,ProblemSolving_ReqLevel,CriticalThinking_ReqLevel
25-1081.00,SI,4.0,4.0,57.14285714285714,57.14285714285714,Mid,Mid
25-1082.00,SI,3.75,4.12,53.57142857142857,58.85714285714286,Mid,Mid
25-1111.00,SI,3.75,4.12,53.57142857142857,58.85714285714286,Mid,Mid
25-1112.00,SI,3.75,4.88,53.57142857142857,69.71428571428572,Mid,Mid
25-1113.00,SI,3.88,4.25,55.42857142857143,60.71428571428571,Mid,Mid
25-1121.00,SA,3.38,3.88,48.285714285714285,55.42857142857143,Mid,Mid
25-1122.00,SI,3.5,4.12,50.0,58.85714285714286,Mid,Mid
25-1123.00,SI,3.5,4.0,50.0,57.14285714285714,Mid,Mid
25-1124.00,SI,3.62,3.88,51.714285714285715,55.42857142857143,Mid,Mid
25-1125.00,SI,3.75,3.88,53.57142857142857,55.42857142857143,Mid,Mid
25-1126.00,SI,3.75,4.25,53.57142857142857,60.71428571428571,Mid,Mid
25-1192.00,SI,3.25,4.0,46.42857142857143,57.14285714285714,Mid,Mid
25-1193.00,SI,3.38,4.0,48.285714285714285,57.14285714285714,Mid,Mid
25-1194.00,SI,3.12,3.75,44.57142857142857,53.57142857142857,Mid,Mid
25-2011.00,SA,3.0,3.12,42.857142857142854,44.57142857142857,Mid,Mid
25-2012.00,SA,3.12,3.75,44.57142857142857,53.57142857142857,Mid,Mid
25-2021.00,SA,3.12,3.88,44.57142857142857,55.42857142857143,Mid,Mid
25-2022.00,SA,3.25,3.88,46.42857142857143,55.42857142857143,Mid,Mid
25-2023.00,S,3.0,3.88,42.857142857142854,55.42857142857143,Mid,Mid
25-2031.00,S,3.5,3.88,50.0,55.42857142857143,Mid,Mid
25-2032.00,S,3.38,3.88,48.285714285714285,55.42857142857143,Mid,Mid
25-2051.00,SA,3.38,3.88,48.285714285714285,55.42857142857143,Mid,Mid
25-2055.00,S,0.0,0.0,0.0,0.0,Low,Low
25-2056.00,SI,0.0,0.0,0.0,0.0,Low,Low
25-2057.00,SI,3.12,3.88,44.57142857142857,55.42857142857143,Mid,Mid
25-2058.00,SI,3.25,4.0,46.42857142857143,57.14285714285714,Mid,Mid
25-2059.01,SR,3.38,3.88,48.285714285714285,55.42857142857143,Mid,Mid
25-3011.00,S,3.0,3.5,42.857142857142854,50.0,Mid,Mid
25-3021.00,SA,2.88,3.12,41.14285714285714,44.57142857142857,Low,Mid
25-3031.00,SC,0.0,0.0,0.0,0.0,Low,Low
